"CWE_ID","CVE_ID"
"CWE-862","CVE-2021-0922"
"CWE-862","CVE-2021-0923"
"CWE-125","CVE-2021-0924"
"CWE-125","CVE-2021-0925"
"CWE-862","CVE-2021-0926"
"CWE-281","CVE-2021-0927"
"CWE-502","CVE-2021-0928"
"CWE-416","CVE-2021-0929"
"CWE-787","CVE-2021-0930"
"CWE-732","CVE-2021-0931"
"NVD-CWE-Other","CVE-2021-0932"
"CWE-20","CVE-2021-0933"
"CWE-787","CVE-2021-0935"
"CWE-416","CVE-2021-0935"
"CWE-416","CVE-2021-0936"
"CWE-908","CVE-2021-0938"
"CWE-125","CVE-2021-0939"
"CWE-787","CVE-2021-0940"
"CWE-125","CVE-2021-0941"
"CWE-416","CVE-2021-0941"
"NVD-CWE-Other","CVE-2021-0952"
"CWE-281","CVE-2021-0953"
"CWE-1021","CVE-2021-0954"
"CWE-362","CVE-2021-0955"
"CWE-787","CVE-2021-0956"
"NVD-CWE-Other","CVE-2021-0958"
"CWE-909","CVE-2021-0961"
"CWE-1021","CVE-2021-0963"
"CWE-787","CVE-2021-0964"
"CWE-281","CVE-2021-0965"
"CWE-668","CVE-2021-0966"
"CWE-787","CVE-2021-0967"
"CWE-190","CVE-2021-0968"
"CWE-755","CVE-2021-0969"
"CWE-502","CVE-2021-0970"
"CWE-787","CVE-2021-0971"
"CWE-178","CVE-2021-0973"
"CWE-125","CVE-2021-0976"
"CWE-787","CVE-2021-0977"
"CWE-668","CVE-2021-0978"
"CWE-276","CVE-2021-0979"
"CWE-269","CVE-2021-0981"
"CWE-668","CVE-2021-0982"
"CWE-200","CVE-2021-0983"
"CWE-269","CVE-2021-0984"
"CWE-281","CVE-2021-0985"
"CWE-668","CVE-2021-0986"
"CWE-203","CVE-2021-0987"
"CWE-203","CVE-2021-0988"
"CWE-203","CVE-2021-0989"
"CWE-203","CVE-2021-0990"
"CWE-532","CVE-2021-0991"
"CWE-269","CVE-2021-0992"
"CWE-400","CVE-2021-0993"
"CWE-668","CVE-2021-0994"
"CWE-203","CVE-2021-0995"
"CWE-125","CVE-2021-0996"
"CWE-532","CVE-2021-0997"
"CWE-125","CVE-2021-0998"
"CWE-281","CVE-2021-0999"
"CWE-787","CVE-2021-1001"
"CWE-125","CVE-2021-1002"
"CWE-610","CVE-2021-1003"
"CWE-281","CVE-2021-1004"
"CWE-203","CVE-2021-1005"
"CWE-1021","CVE-2021-1006"
"CWE-125","CVE-2021-1007"
"NVD-CWE-noinfo","CVE-2021-1008"
"CWE-203","CVE-2021-1009"
"CWE-281","CVE-2021-1010"
"CWE-306","CVE-2021-1011"
"CWE-203","CVE-2021-1012"
"CWE-203","CVE-2021-1013"
"CWE-203","CVE-2021-1014"
"CWE-203","CVE-2021-1015"
"CWE-1021","CVE-2021-1016"
"CWE-862","CVE-2021-1017"
"CWE-203","CVE-2021-1018"
"CWE-269","CVE-2021-1019"
"CWE-20","CVE-2021-1020"
"CWE-20","CVE-2021-1021"
"CWE-476","CVE-2021-1022"
"CWE-200","CVE-2021-1023"
"NVD-CWE-Other","CVE-2021-1024"
"CWE-281","CVE-2021-1025"
"CWE-203","CVE-2021-1026"
"CWE-269","CVE-2021-1027"
"CWE-787","CVE-2021-1028"
"CWE-416","CVE-2021-1028"
"CWE-787","CVE-2021-1029"
"CWE-416","CVE-2021-1029"
"CWE-203","CVE-2021-1030"
"CWE-203","CVE-2021-1031"
"CWE-203","CVE-2021-1032"
"CWE-863","CVE-2021-1034"
"CWE-1021","CVE-2021-1038"
"CWE-1021","CVE-2021-1039"
"CWE-1021","CVE-2021-1040"
"CWE-125","CVE-2021-1041"
"CWE-416","CVE-2021-1042"
"NVD-CWE-Other","CVE-2021-1043"
"CWE-787","CVE-2021-1044"
"CWE-668","CVE-2021-1045"
"CWE-125","CVE-2021-1046"
"CWE-190","CVE-2021-1047"
"CWE-416","CVE-2021-1048"
"CWE-269","CVE-2021-1051"
"CWE-269","CVE-2021-1052"
"CWE-20","CVE-2021-1053"
"CWE-863","CVE-2021-1054"
"CWE-863","CVE-2021-1055"
"CWE-276","CVE-2021-1056"
"CWE-770","CVE-2021-1057"
"CWE-20","CVE-2021-1058"
"CWE-190","CVE-2021-1059"
"CWE-20","CVE-2021-1060"
"CWE-362","CVE-2021-1061"
"CWE-20","CVE-2021-1062"
"CWE-125","CVE-2021-1063"
"CWE-476","CVE-2021-1064"
"CWE-20","CVE-2021-1065"
"CWE-400","CVE-2021-1066"
"NVD-CWE-noinfo","CVE-2021-1067"
"CWE-125","CVE-2021-1068"
"CWE-476","CVE-2021-1069"
"NVD-CWE-Other","CVE-2021-1070"
"NVD-CWE-Other","CVE-2021-1071"
"NVD-CWE-noinfo","CVE-2021-1072"
"CWE-668","CVE-2021-1073"
"NVD-CWE-noinfo","CVE-2021-1074"
"CWE-476","CVE-2021-1075"
"CWE-863","CVE-2021-1076"
"CWE-404","CVE-2021-1077"
"CWE-476","CVE-2021-1078"
"NVD-CWE-noinfo","CVE-2021-1079"
"CWE-20","CVE-2021-1080"
"CWE-20","CVE-2021-1081"
"CWE-20","CVE-2021-1082"
"CWE-20","CVE-2021-1083"
"CWE-20","CVE-2021-1084"
"CWE-20","CVE-2021-1085"
"CWE-863","CVE-2021-1086"
"CWE-200","CVE-2021-1087"
"NVD-CWE-noinfo","CVE-2021-1088"
"CWE-427","CVE-2021-1089"
"CWE-120","CVE-2021-1090"
"CWE-59","CVE-2021-1091"
"CWE-269","CVE-2021-1092"
"CWE-404","CVE-2021-1093"
"CWE-119","CVE-2021-1094"
"CWE-476","CVE-2021-1095"
"CWE-476","CVE-2021-1096"
"CWE-20","CVE-2021-1097"
"CWE-404","CVE-2021-1098"
"CWE-787","CVE-2021-1099"
"NVD-CWE-Other","CVE-2021-1100"
"CWE-476","CVE-2021-1101"
"CWE-755","CVE-2021-1102"
"CWE-476","CVE-2021-1103"
"CWE-908","CVE-2021-1104"
"NVD-CWE-noinfo","CVE-2021-1105"
"CWE-119","CVE-2021-1106"
"CWE-863","CVE-2021-1107"
"CWE-20","CVE-2021-1108"
"NVD-CWE-noinfo","CVE-2021-1109"
"CWE-20","CVE-2021-1110"
"CWE-119","CVE-2021-1111"
"CWE-476","CVE-2021-1112"
"CWE-863","CVE-2021-1113"
"CWE-416","CVE-2021-1114"
"CWE-476","CVE-2021-1115"
"CWE-476","CVE-2021-1116"
"CWE-129","CVE-2021-1117"
"CWE-269","CVE-2021-1118"
"CWE-415","CVE-2021-1119"
"NVD-CWE-Other","CVE-2021-1120"
"CWE-770","CVE-2021-1121"
"CWE-476","CVE-2021-1122"
"NVD-CWE-noinfo","CVE-2021-1123"
"NVD-CWE-noinfo","CVE-2021-1125"
"CWE-522","CVE-2021-1126"
"CWE-79","CVE-2021-1127"
"CWE-201","CVE-2021-1128"
"CWE-201","CVE-2021-1129"
"CWE-79","CVE-2021-1130"
"CWE-119","CVE-2021-1131"
"CWE-184","CVE-2021-1133"
"CWE-79","CVE-2021-1407"
"CWE-79","CVE-2021-1408"
"CWE-79","CVE-2021-1409"
"CWE-170","CVE-2021-1411"
"CWE-266","CVE-2021-1412"
"CWE-502","CVE-2021-1413"
"CWE-502","CVE-2021-1414"
"CWE-502","CVE-2021-1415"
"CWE-266","CVE-2021-1416"
"CWE-200","CVE-2021-1417"
"CWE-170","CVE-2021-1418"
"CWE-269","CVE-2021-1419"
"CWE-80","CVE-2021-1420"
"CWE-78","CVE-2021-1421"
"CWE-617","CVE-2021-1422"
"CWE-668","CVE-2021-1423"
"CWE-427","CVE-2021-1426"
"CWE-427","CVE-2021-1427"
"CWE-427","CVE-2021-1428"
"CWE-427","CVE-2021-1429"
"CWE-427","CVE-2021-1430"
"CWE-20","CVE-2021-1431"
"CWE-74","CVE-2021-1432"
"CWE-119","CVE-2021-1433"
"CWE-552","CVE-2021-1434"
"CWE-22","CVE-2021-1435"
"CWE-22","CVE-2021-1436"
"CWE-275","CVE-2021-1437"
"CWE-668","CVE-2021-1438"
"CWE-120","CVE-2021-1439"
"CWE-78","CVE-2021-1441"
"CWE-78","CVE-2021-1441"
"CWE-532","CVE-2021-1442"
"CWE-77","CVE-2021-1443"
"CWE-787","CVE-2021-1445"
"CWE-754","CVE-2021-1446"
"CWE-269","CVE-2021-1447"
"CWE-20","CVE-2021-1448"
"CWE-284","CVE-2021-1449"
"CWE-20","CVE-2021-1450"
"CWE-119","CVE-2021-1451"
"CWE-78","CVE-2021-1452"
"CWE-347","CVE-2021-1453"
"CWE-88","CVE-2021-1454"
"CWE-79","CVE-2021-1455"
"CWE-79","CVE-2021-1456"
"CWE-79","CVE-2021-1457"
"CWE-79","CVE-2021-1458"
"CWE-119","CVE-2021-1459"
"CWE-400","CVE-2021-1460"
"CWE-79","CVE-2021-1463"
"CWE-269","CVE-2021-1467"
"CWE-284","CVE-2021-1467"
"CWE-287","CVE-2021-1468"
"CWE-20","CVE-2021-1469"
"CWE-170","CVE-2021-1469"
"CWE-295","CVE-2021-1471"
"CWE-119","CVE-2021-1472"
"CWE-119","CVE-2021-1473"
"CWE-1236","CVE-2021-1474"
"CWE-1236","CVE-2021-1475"
"CWE-78","CVE-2021-1476"
"CWE-269","CVE-2021-1477"
"NVD-CWE-Other","CVE-2021-1478"
"CWE-119","CVE-2021-1479"
"CWE-119","CVE-2021-1480"
"CWE-88","CVE-2021-1485"
"CWE-203","CVE-2021-1486"
"CWE-78","CVE-2021-1487"
"CWE-77","CVE-2021-1488"
"CWE-400","CVE-2021-1489"
"CWE-79","CVE-2021-1490"
"CWE-64","CVE-2021-1492"
"CWE-120","CVE-2021-1493"
"CWE-755","CVE-2021-1495"
"CWE-427","CVE-2021-1496"
"CWE-78","CVE-2021-1497"
"CWE-78","CVE-2021-1498"
"CWE-306","CVE-2021-1499"
"CWE-601","CVE-2021-1500"
"CWE-613","CVE-2021-1501"
"CWE-119","CVE-2021-1502"
"CWE-787","CVE-2021-1503"
"CWE-787","CVE-2021-1504"
"CWE-269","CVE-2021-1505"
"CWE-862","CVE-2021-1506"
"CWE-79","CVE-2021-1507"
"CWE-862","CVE-2021-1508"
"CWE-119","CVE-2021-1509"
"CWE-119","CVE-2021-1510"
"CWE-119","CVE-2021-1511"
"CWE-552","CVE-2021-1512"
"CWE-20","CVE-2021-1513"
"CWE-77","CVE-2021-1514"
"CWE-284","CVE-2021-1515"
"CWE-540","CVE-2021-1516"
"CWE-693","CVE-2021-1517"
"CWE-94","CVE-2021-1518"
"CWE-20","CVE-2021-1519"
"CWE-123","CVE-2021-1520"
"CWE-119","CVE-2021-1521"
"CWE-521","CVE-2021-1522"
"CWE-772","CVE-2021-1523"
"CWE-20","CVE-2021-1524"
"CWE-601","CVE-2021-1525"
"CWE-787","CVE-2021-1526"
"CWE-787","CVE-2021-1527"
"CWE-250","CVE-2021-1528"
"CWE-78","CVE-2021-1529"
"CWE-611","CVE-2021-1530"
"CWE-88","CVE-2021-1531"
"CWE-22","CVE-2021-1532"
"NVD-CWE-noinfo","CVE-2021-1534"
"CWE-497","CVE-2021-1535"
"CWE-427","CVE-2021-1536"
"CWE-522","CVE-2021-1537"
"CWE-78","CVE-2021-1538"
"CWE-863","CVE-2021-1539"
"CWE-863","CVE-2021-1540"
"CWE-287","CVE-2021-1541"
"CWE-613","CVE-2021-1542"
"CWE-287","CVE-2021-1543"
"CWE-497","CVE-2021-1544"
"CWE-209","CVE-2021-1546"
"CWE-77","CVE-2021-1547"
"CWE-77","CVE-2021-1548"
"CWE-77","CVE-2021-1549"
"CWE-77","CVE-2021-1550"
"CWE-77","CVE-2021-1551"
"CWE-77","CVE-2021-1552"
"CWE-77","CVE-2021-1553"
"CWE-77","CVE-2021-1554"
"CWE-77","CVE-2021-1555"
"CWE-78","CVE-2021-1557"
"CWE-78","CVE-2021-1558"
"CWE-78","CVE-2021-1559"
"CWE-78","CVE-2021-1560"
"CWE-287","CVE-2021-1561"
"CWE-200","CVE-2021-1562"
"CWE-400","CVE-2021-1563"
"CWE-400","CVE-2021-1564"
"CWE-415","CVE-2021-1565"
"CWE-295","CVE-2021-1566"
"CWE-367","CVE-2021-1567"
"CWE-789","CVE-2021-1568"
"CWE-399","CVE-2021-1569"
"CWE-20","CVE-2021-1570"
"CWE-79","CVE-2021-1571"
"CWE-269","CVE-2021-1572"
"CWE-798","CVE-2021-1574"
"CWE-79","CVE-2021-1575"
"CWE-532","CVE-2021-1576"
"CWE-863","CVE-2021-1577"
"CWE-755","CVE-2021-1578"
"CWE-287","CVE-2021-1579"
"CWE-78","CVE-2021-1580"
"CWE-434","CVE-2021-1581"
"CWE-79","CVE-2021-1582"
"CWE-863","CVE-2021-1583"
"CWE-78","CVE-2021-1584"
"CWE-94","CVE-2021-1585"
"CWE-345","CVE-2021-1586"
"CWE-436","CVE-2021-1587"
"CWE-20","CVE-2021-1588"
"CWE-125","CVE-2021-1588"
"CWE-522","CVE-2021-1589"
"NVD-CWE-noinfo","CVE-2021-1590"
"CWE-287","CVE-2021-1591"
"CWE-770","CVE-2021-1592"
"CWE-427","CVE-2021-1593"
"CWE-77","CVE-2021-1594"
"CWE-401","CVE-2021-1595"
"CWE-401","CVE-2021-1596"
"CWE-401","CVE-2021-1597"
"CWE-401","CVE-2021-1598"
"CWE-79","CVE-2021-1599"
"CWE-287","CVE-2021-1600"
"CWE-287","CVE-2021-1601"
"CWE-20","CVE-2021-1602"
"CWE-78","CVE-2021-1602"
"CWE-79","CVE-2021-1603"
"CWE-79","CVE-2021-1604"
"CWE-79","CVE-2021-1605"
"CWE-79","CVE-2021-1606"
"CWE-79","CVE-2021-1607"
"NVD-CWE-noinfo","CVE-2021-1609"
"NVD-CWE-noinfo","CVE-2021-1610"
"CWE-400","CVE-2021-1611"
"CWE-59","CVE-2021-1612"
"NVD-CWE-Other","CVE-2021-1614"
"CWE-400","CVE-2021-1615"
"CWE-20","CVE-2021-1616"
"CWE-20","CVE-2021-1617"
"CWE-20","CVE-2021-1618"
"CWE-824","CVE-2021-1619"
"CWE-772","CVE-2021-1620"
"CWE-400","CVE-2021-1621"
"CWE-667","CVE-2021-1622"
"CWE-400","CVE-2021-1623"
"CWE-400","CVE-2021-1624"
"NVD-CWE-Other","CVE-2021-1625"
"NVD-CWE-noinfo","CVE-2021-1626"
"CWE-918","CVE-2021-1627"
"CWE-611","CVE-2021-1628"
"CWE-601","CVE-2021-1629"
"CWE-611","CVE-2021-1630"
"CWE-89","CVE-2021-1636"
"NVD-CWE-noinfo","CVE-2021-1637"
"CWE-863","CVE-2021-1638"
"NVD-CWE-noinfo","CVE-2021-1639"
"CWE-269","CVE-2021-1640"
"CWE-20","CVE-2021-1641"
"CWE-269","CVE-2021-1642"
"NVD-CWE-noinfo","CVE-2021-1643"
"NVD-CWE-noinfo","CVE-2021-1644"
"NVD-CWE-noinfo","CVE-2021-1645"
"CWE-269","CVE-2021-1646"
"NVD-CWE-noinfo","CVE-2021-1647"
"CWE-269","CVE-2021-1648"
"CWE-269","CVE-2021-1649"
"CWE-269","CVE-2021-1650"
"CWE-269","CVE-2021-1651"
"CWE-269","CVE-2021-1652"
"CWE-269","CVE-2021-1653"
"CWE-269","CVE-2021-1654"
"CWE-269","CVE-2021-1655"
"NVD-CWE-noinfo","CVE-2021-1656"
"CWE-269","CVE-2021-1657"
"NVD-CWE-noinfo","CVE-2021-1658"
"CWE-269","CVE-2021-1659"
"NVD-CWE-noinfo","CVE-2021-1660"
"CWE-269","CVE-2021-1661"
"CWE-269","CVE-2021-1662"
"CWE-200","CVE-2021-1663"
"NVD-CWE-noinfo","CVE-2021-1664"
"NVD-CWE-noinfo","CVE-2021-1665"
"NVD-CWE-noinfo","CVE-2021-1666"
"NVD-CWE-noinfo","CVE-2021-1667"
"NVD-CWE-noinfo","CVE-2021-1668"
"CWE-863","CVE-2021-1669"
"NVD-CWE-noinfo","CVE-2021-1670"
"NVD-CWE-noinfo","CVE-2021-1671"
"NVD-CWE-noinfo","CVE-2021-1672"
"NVD-CWE-noinfo","CVE-2021-1673"
"NVD-CWE-noinfo","CVE-2021-1674"
"CWE-269","CVE-2021-1675"
"NVD-CWE-noinfo","CVE-2021-1676"
"CWE-290","CVE-2021-1677"
"NVD-CWE-noinfo","CVE-2021-1678"
"NVD-CWE-noinfo","CVE-2021-1679"
"CWE-269","CVE-2021-1680"
"CWE-269","CVE-2021-1681"
"CWE-269","CVE-2021-1682"
"NVD-CWE-noinfo","CVE-2021-1683"
"NVD-CWE-noinfo","CVE-2021-1684"
"CWE-269","CVE-2021-1685"
"CWE-269","CVE-2021-1686"
"CWE-269","CVE-2021-1687"
"CWE-269","CVE-2021-1688"
"CWE-269","CVE-2021-1689"
"CWE-269","CVE-2021-1690"
"NVD-CWE-noinfo","CVE-2021-1691"
"NVD-CWE-noinfo","CVE-2021-1692"
"CWE-295","CVE-2021-1134"
"CWE-184","CVE-2021-1135"
"CWE-347","CVE-2021-1136"
"CWE-119","CVE-2021-1137"
"CWE-20","CVE-2021-1138"
"CWE-20","CVE-2021-1139"
"CWE-20","CVE-2021-1140"
"CWE-20","CVE-2021-1141"
"CWE-77","CVE-2021-1142"
"CWE-863","CVE-2021-1143"
"CWE-863","CVE-2021-1144"
"CWE-59","CVE-2021-1145"
"CWE-77","CVE-2021-1146"
"CWE-77","CVE-2021-1147"
"CWE-77","CVE-2021-1148"
"CWE-77","CVE-2021-1149"
"CWE-77","CVE-2021-1150"
"CWE-79","CVE-2021-1151"
"CWE-79","CVE-2021-1152"
"CWE-79","CVE-2021-1153"
"CWE-79","CVE-2021-1154"
"CWE-79","CVE-2021-1155"
"CWE-79","CVE-2021-1156"
"CWE-79","CVE-2021-1157"
"CWE-79","CVE-2021-1158"
"CWE-787","CVE-2021-1159"
"CWE-787","CVE-2021-1160"
"CWE-787","CVE-2021-1161"
"CWE-787","CVE-2021-1162"
"CWE-787","CVE-2021-1163"
"CWE-787","CVE-2021-1164"
"CWE-787","CVE-2021-1165"
"CWE-787","CVE-2021-1166"
"CWE-787","CVE-2021-1167"
"CWE-787","CVE-2021-1168"
"CWE-787","CVE-2021-1169"
"CWE-787","CVE-2021-1170"
"CWE-787","CVE-2021-1171"
"CWE-787","CVE-2021-1172"
"CWE-787","CVE-2021-1173"
"CWE-787","CVE-2021-1174"
"CWE-787","CVE-2021-1175"
"CWE-787","CVE-2021-1176"
"CWE-787","CVE-2021-1177"
"CWE-787","CVE-2021-1178"
"CWE-787","CVE-2021-1179"
"CWE-787","CVE-2021-1180"
"CWE-787","CVE-2021-1181"
"CWE-787","CVE-2021-1182"
"CWE-787","CVE-2021-1183"
"CWE-787","CVE-2021-1184"
"CWE-787","CVE-2021-1185"
"CWE-787","CVE-2021-1186"
"CWE-787","CVE-2021-1187"
"CWE-787","CVE-2021-1188"
"CWE-787","CVE-2021-1189"
"CWE-787","CVE-2021-1190"
"CWE-787","CVE-2021-1191"
"CWE-787","CVE-2021-1192"
"CWE-787","CVE-2021-1193"
"CWE-787","CVE-2021-1194"
"CWE-787","CVE-2021-1195"
"CWE-787","CVE-2021-1196"
"CWE-787","CVE-2021-1197"
"CWE-787","CVE-2021-1198"
"CWE-787","CVE-2021-1199"
"CWE-787","CVE-2021-1200"
"CWE-787","CVE-2021-1201"
"CWE-787","CVE-2021-1202"
"CWE-787","CVE-2021-1203"
"CWE-787","CVE-2021-1204"
"CWE-787","CVE-2021-1205"
"CWE-787","CVE-2021-1206"
"CWE-787","CVE-2021-1207"
"CWE-787","CVE-2021-1208"
"CWE-787","CVE-2021-1209"
"CWE-787","CVE-2021-1210"
"CWE-787","CVE-2021-1211"
"CWE-787","CVE-2021-1212"
"CWE-787","CVE-2021-1213"
"CWE-787","CVE-2021-1214"
"CWE-787","CVE-2021-1215"
"CWE-787","CVE-2021-1216"
"CWE-787","CVE-2021-1217"
"CWE-601","CVE-2021-1218"
"CWE-798","CVE-2021-1219"
"CWE-20","CVE-2021-1220"
"CWE-20","CVE-2021-1221"
"CWE-89","CVE-2021-1222"
"CWE-269","CVE-2021-1223"
"CWE-269","CVE-2021-1224"
"CWE-89","CVE-2021-1225"
"CWE-532","CVE-2021-1226"
"CWE-352","CVE-2021-1227"
"CWE-284","CVE-2021-1228"
"CWE-401","CVE-2021-1229"
"NVD-CWE-Other","CVE-2021-1230"
"CWE-284","CVE-2021-1231"
"CWE-20","CVE-2021-1233"
"CWE-497","CVE-2021-1235"
"CWE-670","CVE-2021-1236"
"CWE-427","CVE-2021-1237"
"CWE-79","CVE-2021-1238"
"CWE-79","CVE-2021-1239"
"CWE-427","CVE-2021-1240"
"CWE-119","CVE-2021-1241"
"NVD-CWE-noinfo","CVE-2021-1242"
"CWE-284","CVE-2021-1243"
"CWE-347","CVE-2021-1244"
"CWE-79","CVE-2021-1245"
"CWE-79","CVE-2021-1246"
"CWE-89","CVE-2021-1247"
"CWE-89","CVE-2021-1248"
"CWE-20","CVE-2021-1249"
"CWE-79","CVE-2021-1250"
"CWE-119","CVE-2021-1251"
"CWE-20","CVE-2021-1252"
"CWE-79","CVE-2021-1253"
"CWE-79","CVE-2021-1254"
"CWE-184","CVE-2021-1255"
"CWE-552","CVE-2021-1256"
"CWE-352","CVE-2021-1257"
"CWE-269","CVE-2021-1258"
"CWE-22","CVE-2021-1259"
"CWE-77","CVE-2021-1260"
"CWE-77","CVE-2021-1261"
"CWE-77","CVE-2021-1262"
"CWE-77","CVE-2021-1263"
"CWE-78","CVE-2021-1264"
"CWE-312","CVE-2021-1265"
"CWE-400","CVE-2021-1266"
"CWE-776","CVE-2021-1267"
"CWE-1076","CVE-2021-1268"
"NVD-CWE-noinfo","CVE-2021-1269"
"CWE-863","CVE-2021-1269"
"CWE-863","CVE-2021-1270"
"CWE-79","CVE-2021-1271"
"CWE-918","CVE-2021-1272"
"CWE-119","CVE-2021-1273"
"CWE-119","CVE-2021-1274"
"CWE-400","CVE-2021-1275"
"CWE-295","CVE-2021-1276"
"CWE-295","CVE-2021-1277"
"CWE-119","CVE-2021-1278"
"CWE-119","CVE-2021-1279"
"CWE-427","CVE-2021-1280"
"CWE-269","CVE-2021-1281"
"CWE-35","CVE-2021-1282"
"CWE-789","CVE-2021-1283"
"CWE-284","CVE-2021-1284"
"CWE-20","CVE-2021-1286"
"CWE-121","CVE-2021-1287"
"CWE-399","CVE-2021-1288"
"CWE-472","CVE-2021-1289"
"CWE-472","CVE-2021-1290"
"CWE-472","CVE-2021-1291"
"CWE-472","CVE-2021-1292"
"CWE-472","CVE-2021-1293"
"CWE-472","CVE-2021-1294"
"CWE-472","CVE-2021-1295"
"CWE-36","CVE-2021-1296"
"CWE-36","CVE-2021-1297"
"CWE-77","CVE-2021-1298"
"CWE-20","CVE-2021-1299"
"CWE-119","CVE-2021-1300"
"CWE-119","CVE-2021-1301"
"NVD-CWE-noinfo","CVE-2021-1302"
"CWE-266","CVE-2021-1303"
"NVD-CWE-noinfo","CVE-2021-1304"
"CWE-20","CVE-2021-1305"
"CWE-610","CVE-2021-1306"
"CWE-787","CVE-2021-1307"
"CWE-119","CVE-2021-1308"
"CWE-119","CVE-2021-1309"
"CWE-601","CVE-2021-1310"
"CWE-307","CVE-2021-1311"
"CWE-400","CVE-2021-1312"
"CWE-399","CVE-2021-1313"
"CWE-77","CVE-2021-1314"
"CWE-77","CVE-2021-1315"
"CWE-77","CVE-2021-1316"
"CWE-77","CVE-2021-1317"
"CWE-77","CVE-2021-1318"
"CWE-121","CVE-2021-1319"
"CWE-121","CVE-2021-1320"
"CWE-121","CVE-2021-1321"
"CWE-121","CVE-2021-1322"
"CWE-121","CVE-2021-1323"
"CWE-121","CVE-2021-1324"
"CWE-121","CVE-2021-1325"
"CWE-121","CVE-2021-1326"
"CWE-121","CVE-2021-1327"
"CWE-121","CVE-2021-1328"
"CWE-121","CVE-2021-1329"
"CWE-121","CVE-2021-1330"
"CWE-121","CVE-2021-1331"
"CWE-121","CVE-2021-1332"
"CWE-121","CVE-2021-1333"
"CWE-121","CVE-2021-1334"
"CWE-121","CVE-2021-1335"
"CWE-121","CVE-2021-1336"
"CWE-121","CVE-2021-1337"
"CWE-121","CVE-2021-1338"
"CWE-121","CVE-2021-1339"
"CWE-121","CVE-2021-1340"
"CWE-121","CVE-2021-1341"
"CWE-121","CVE-2021-1342"
"CWE-121","CVE-2021-1343"
"CWE-121","CVE-2021-1344"
"CWE-121","CVE-2021-1345"
"CWE-121","CVE-2021-1346"
"CWE-121","CVE-2021-1347"
"CWE-121","CVE-2021-1348"
"CWE-943","CVE-2021-1349"
"CWE-770","CVE-2021-1350"
"CWE-80","CVE-2021-1351"
"CWE-823","CVE-2021-1352"
"CWE-401","CVE-2021-1353"
"CWE-295","CVE-2021-1354"
"CWE-89","CVE-2021-1355"
"CWE-755","CVE-2021-1356"
"CWE-35","CVE-2021-1357"
"CWE-601","CVE-2021-1358"
"NVD-CWE-Other","CVE-2021-1359"
"CWE-787","CVE-2021-1360"
