"SOFTWARE_ID","CPE_ID","SW_PART","SW_PRODUCT","SW_VENDOR","SW_VERSION"
"SOFT63","cpe:2.3:a:cisco:duo_authentication_for_windows_logon_and_rdp:4.1.3:*:*:*:*:*:*:*","a","duo_authentication_for_windows_logon_and_rdp","cisco","4.1.3"
"SOFT64","cpe:2.3:a:ni:labview:2020:sp1:*:*:*:*:*:*","a","labview","ni","2020"
"SOFT65","cpe:2.3:a:solidworks:product_data_management:2014:sp2:*:*:*:*:*:*","a","product_data_management","solidworks","2014"
"SOFT66","cpe:2.3:a:alertus:alertus_desktop_notification_for_os_x:2.9.30.1700:*:*:*:*:*:*:*","a","alertus_desktop_notification_for_os_x","alertus","2.9.30.1700"
"SOFT67","cpe:2.3:a:theeventscalendar:eventbrite_tickets:4.6.2:*:*:*:*:wordpress:*:*","a","eventbrite_tickets","theeventscalendar","4.6.2"
"SOFT68","cpe:2.3:a:logmein:lastpass:4.9.2:*:*:*:*:-:*:*","a","lastpass","logmein","4.9.2"
"SOFT69","cpe:2.3:a:microsoft:windows_defender:-:*:*:*:*:*:*:*","a","windows_defender","microsoft",
"SOFT70","cpe:2.3:a:microsoft:onenote:2016:*:*:*:*:*:*:*","a","onenote","microsoft","2016"
"SOFT71","cpe:2.3:a:microsoft:system_center_endpoint_protection:-:*:*:*:*:*:*:*","a","system_center_endpoint_protection","microsoft",
"SOFT72","cpe:2.3:a:siemens:sinec_pni:-:*:*:*:*:*:*:*","a","sinec_pni","siemens",
"SOFT73","cpe:2.3:a:sync:oxygen_xml_author:20.0:*:*:*:*:*:*:*","a","oxygen_xml_author","sync",
"SOFT74","cpe:2.3:a:hyland:perceptive_content_server:7.1.4:*:*:*:*:*:*:*","a","perceptive_content_server","hyland",
"SOFT75","cpe:2.3:a:vandyke:securecrt:8.7.2:*:*:*:*:*:*:*","a","securecrt","vandyke","8.7.2"
"SOFT76","cpe:2.3:a:vandyke:securefx:4.0:*:*:*:*:*:*:*","a","securefx","vandyke",
