"CAPEC_ID","TECHNIQUE_ID","TECHNIQUE_NAME"
"CAPEC-482","T1499.001","Endpoint Denial of ServiceOS Exhaustion Flood"
"CAPEC-478","T1543.003","Create or Modify System ProcessWindows Service"
"CAPEC-478","T1574.011","Hijack Execution FlowService Registry Permissions Weakness"
"CAPEC-30","T1055.003","Process InjectionThread Execution Hijacking"
"CAPEC-550","T1543.002","Create or Modify System ProcessSystemd Service"
"CAPEC-550","T1543.003","Create or Modify System ProcessWindows Service"
"CAPEC-550","T1543.004","Create or Modify System ProcessLaunch Daemon"
"CAPEC-633","T1134","Access Token Manipulation"
"CAPEC-7","T1556","Modify Authentication Process"
"CAPEC-150","T1119","Automated Collection"
"CAPEC-103","T1574.010","Hijack Execution Flow ServicesFile Permissions Weakness"
"CAPEC-481","T1090.004","ProxyDomain Fronting"
"CAPEC-579","T1547.004","Boot or Logon Autostart ExecutionWinlogon helper DLL"
"CAPEC-233","T1548","Abuse Elevation Control Mechanism"
"CAPEC-292","T1018","Remote System Discovery"
"CAPEC-98","T1566","Phishing"
"CAPEC-556","T1546.001","Event Triggered ExecutionChange Default File Association"
"CAPEC-127","T1083","File and Directory Discovery"
"CAPEC-587","T1518.001","Software DiscoverySecurity Software Discovery"
"CAPEC-67","T1556","Modify Authentication Process"
"CAPEC-545","T1005","Data from Local System"
"CAPEC-545","T1555.001","Credentials from Password StoresKeychain"
"CAPEC-655","T1027.001","Obfuscated Files or InformationBinary padding"
"CAPEC-10","T1574.010","Hijack Execution Flow ServicesFile Permissions Weakness"
"CAPEC-639","T1039","Data from Network Shared Drive"
"CAPEC-639","T1552.001","Unsecured CredentialsCredentials in Files"
"CAPEC-652","T1558","Steal or Forge Kerberos Tickets"
"CAPEC-641","T1574.002","Hijack Execution FlowDLL Side-Loading"
"CAPEC-191","T1552.001","Unsecured CredentialsCredentials in files"
"CAPEC-573","T1057","Process Discovery"
"CAPEC-59","T1518.001","Software DiscoverySecurity Software Discovery"
"CAPEC-229","T1499","Endpoint Denial of Service"
"CAPEC-131","T1499","Endpoint Denial of Service"
"CAPEC-489","T1498.001","Network Denial of ServiceDirect Network Flood"
"CAPEC-489","T1499.002","Endpoint Denial of ServiceService Exhaustion Flood"
"CAPEC-52","T1558.003","Steal or Forge Kerberos TicketsKerberoasting"
"CAPEC-528","T1498.001","Network Denial of ServiceDirect Network Flood"
"CAPEC-528","T1499.002","Endpoint Denial of ServiceService Exhaustion Flood"
"CAPEC-551","T1543.002","Create or Modify System ProcessSystemd Service"
"CAPEC-551","T1543.003","Create or Modify System ProcessWindows Service"
"CAPEC-551","T1543.004","Create or Modify System ProcessLaunch Daemon"
"CAPEC-219","T1134","Access Token Manipulation"
"CAPEC-649","T1036.006","MasqueradingSpace after Filename"
"CAPEC-600","T1110.004","Brute ForceCredential Stuffing"
"CAPEC-580","T1518","Software Discovery"
"CAPEC-440","T1200","Hardware Additions"
"CAPEC-312","T1082","System Information Discovery"
"CAPEC-471","T1574.001","Hijack Execution FlowDLL search order hijacking"
"CAPEC-471","T1574.004","Hijack Execution FlowDylib Hijacking"
"CAPEC-224","T1134","Access Token Manipulation"
"CAPEC-577","T1033","System Owner/User Discovery"
"CAPEC-488","T1498.001","Network Denial of ServiceDirect Network Flood"
"CAPEC-488","T1499.002","Endpoint Denial of ServiceService Exhaustion Flood"
"CAPEC-253","T1055","Process Injection"
"CAPEC-134","T1547.009","Boot or Logon Autostart ExecutionShortcut Modification"
"CAPEC-97","T1557","Man-in-the-Middle"
"CAPEC-645","T1550.003","Use Alternate Authentication MaterialPass The Ticket"
"CAPEC-568","T1056.001","Input CaptureKeylogging"
"CAPEC-640","T1055","Process Injection"
"CAPEC-640","T1574.006","Hijack Execution FlowDynamic Linker Hijacking"
"CAPEC-636","T1001.002","Data ObfuscationSteganography"
"CAPEC-636","T1218.001","Signed Binary Proxy ExecutionCompiled HTML File"
"CAPEC-555","T1021","Remote Services"
"CAPEC-555","T1114.002","Email CollectionRemote Email Collection"
"CAPEC-555","T1133","External Remote Services"
"CAPEC-648","T1113","Screen Capture"
"CAPEC-242","T1548","Abuse Elevation Control Mechanism"
"CAPEC-187","T1072","Software Deployment Tools"
"CAPEC-665","T1211","Exploitation for Defensive Evasion"
"CAPEC-665","T1495","Firmware Corruption"
"CAPEC-665","T1556","Modify Authentication Process"
"CAPEC-70","T1078.001","Valid AccountsDefault Accounts"
"CAPEC-33","T1082","System Information Discovery"
"CAPEC-588","T1518.001","Software DiscoverySecurity Software Discovery"
"CAPEC-169","T1217","Browser Bookmark Discovery"
"CAPEC-169","T1595","Active Scanning"
"CAPEC-268","T1055","Process Injection"
"CAPEC-135","T1547.009","Boot or Logon Autostart ExecutionShortcut Modification"
"CAPEC-486","T1498.001","Network Denial of ServiceDirect Network Flood"
"CAPEC-87","T1078.001","Valid AccountsDefault Accounts"
"CAPEC-88","T1078.001","Valid AccountsDefault Accounts"
"CAPEC-148","T1547.009","Boot or Logon Autostart ExecutionShortcut Modification"
"CAPEC-643","T1135","Network Share Discovery"
"CAPEC-469","T1499.001","Endpoint Denial of ServiceOS Exhaustion Flood"
"CAPEC-84","T1078.001","Valid AccountsDefault Accounts"
"CAPEC-49","T1110.001","Brute ForcePassword Guessing"
"CAPEC-37","T1552.004","Unsecured CredentialsPrivate Keys"
"CAPEC-115","T1548","Abuse Elevation Control Mechanism"
"CAPEC-2","T1531","Account Access Removal"
"CAPEC-71","T1078.001","Valid AccountsDefault Accounts"
"CAPEC-197","T1552.001","Unsecured CredentialsCredentials in files"
"CAPEC-497","T1083","File and Directory Discovery"
"CAPEC-114","T1548","Abuse Elevation Control Mechanism"
"CAPEC-130","T1499.003","Endpoint Denial of ServiceApplication Exhaustion Flood"
"CAPEC-13","T1562.003","Impair DefensesImpair Command History Logging"
"CAPEC-13","T1574.006","Hijack Execution FlowDynamic Linker Hijacking"
"CAPEC-13","T1574.007","Hijack Execution FlowPath Interception by PATH Environment Variable"
"CAPEC-105","T1574.010","Hijack Execution Flow ServicesFile Permissions Weakness"
"CAPEC-638","T1542.002","Pre-OS BootComponent Firmware"
"CAPEC-657","T1017","Application Deployment Software"
