SOFTWARE_ID,CPE_ID,part,vendor,product,version
SOFT63,cpe:2.3:a:cisco:duo_authentication_for_windows_logon_and_rdp:4.1.3:*:*:*:*:*:*:*,a,Cisco,duo_authentication_for_windows_logon_and_rdp,4.1.3
SOFT64,cpe:2.3:a:ni:labview:2020:sp1:*:*:*:*:*:*,a,ni,labview,2020
SOFT65,cpe:2.3:a:solidworks:product_data_management:2014:sp2:*:*:*:*:*:*,a,solidworks,product_data_management,2014
SOFT66,cpe:2.3:a:alertus:alertus_desktop_notification_for_os_x:2.9.30.1700:*:*:*:*:*:*:*,a,alertus,alertus_desktop_notification_for_os_x,2.9.30.1700
SOFT67,cpe:2.3:a:theeventscalendar:eventbrite_tickets:4.6.2:*:*:*:*:wordpress:*:*,a,theeventscalendar,eventbrite_tickets,4.6.2
SOFT68,cpe:2.3:a:logmein:lastpass:4.9.2:*:*:*:*:-:*:*,a,logmein,lastpass,4.9.2
SOFT69,cpe:2.3:a:microsoft:windows_defender:-:*:*:*:*:*:*:*,a,microsoft,windows_defender,
SOFT70,cpe:2.3:a:microsoft:onenote:2016:*:*:*:*:*:*:*,a,microsoft,onenote,2016
SOFT71,cpe:2.3:a:microsoft:system_center_endpoint_protection:-:*:*:*:*:*:*:*,a,microsoft,system_center_endpoint_protection,
SOFT72,cpe:2.3:a:siemens:sinec_pni:-:*:*:*:*:*:*:*,a,siemens,sinec_pni,
SOFT73,cpe:2.3:a:sync:oxygen_xml_author:20.0:*:*:*:*:*:*:*,a,sync,oxygen_xml_author,
SOFT74,cpe:2.3:a:hyland:perceptive_content_server:7.1.4:*:*:*:*:*:*:*,a,hyland,perceptive_content_server,
SOFT75,cpe:2.3:a:vandyke:securecrt:8.7.2:*:*:*:*:*:*:*,a,vandyke,securecrt,8.7.2
SOFT76,cpe:2.3:a:vandyke:securefx:4.0:*:*:*:*:*:*:*,a,vandyke,securefx,
SOFT77,cpe:2.3:a:microsoft:visual_studio_2022:-:*:*:*:*:*:*:*,a,Microsoft,visual_studio_2022,
SOFT78,cpe:2.3:a:apache:hive:4.0.0:*:*:*:*:*:*:*,a,apache,hive,
SOFT79,cpe:2.3:a:ellucian:banner_student:8.5.1.2:*:*:*:*:*:*:*,a,ellucian,banner_student,8.5.1.2
SOFT80,cpe:2.3:a:cylance:cylanceprotect:1470:*:*:*:*:*:*:*,,cylance,cylanceprotect,
SOFT81,cpe:2.3:a:paloaltonetworks:globalprotect:5.0.0:*:*:*:*:windows:*:*,a,paloaltonetworks,globalprotect,
SOFT82,cpe:2.3:a:maplesoft:maple_t.a.:2016.0.6:*:*:*:*:*:*:*,a,maple,maple_t.a.,
SOFT83,cpe:2.3:a:mitel:connect_onsite:-:*:*:*:*:*:*:*,a,mitel,connect_onsite,
