Category,Vendor,Product,Random,Name,Manufacturer,Scheme,Assurance Level,Protection Profile(s),Certification Date,Archived Date,Certification Report URL,Security Target URL,Maintenance Date,Maintenance Title,Maintenance Report,Maintenance ST
Access Control Devices and Systems,,,,ISign&#x2b; v3.0,PENTA SECURITY SYSTEMS INC.,KR,None,KECS-PP-0822-2017 SSO V1.0,4/10/2019,4/10/2024,http://www.commoncriteriaportal.org:443/files/epfiles/KECS-CISS-0924-2019_CR_EN.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/KECS-CISS-0924-2019_ST_EN.pdf,,,,
Access Control Devices and Systems,,,,Pass-Ni SSO v4.0,"UbiNtisLab Co., Ltd.",KR,None,KECS-PP-0822-2017 SSO V1.0,3/4/2019,3/4/2024,http://www.commoncriteriaportal.org:443/files/epfiles/KECS-CR-19-11 Pass-Ni SSO v4.0(eng).pdf,http://www.commoncriteriaportal.org:443/files/epfiles/PassNi-SSO-v4.0-ST-V1.0.R6(EN).pdf,,,,
Access Control Devices and Systems,,,,KSignAccess V4.0,"KSign Co., Ltd.",KR,None,KECS-PP-0822-2017 SSO V1.0,1/11/2019,1/11/2024,http://www.commoncriteriaportal.org:443/files/epfiles/KECS-CR-19-01 KSignAccess V4.0(eng) V1.00.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/KSignAccess V4.0 Security Target V1.2.pdf,,,,
Access Control Devices and Systems,,,,"OAM &#x28;Operation, Administration &amp;  Management&#x2f;Maintenance&#x29; Module  VCL-MX Version 6 80 E1, 160Mbps Voice &amp; Data Multiplexer","Valiant Communications Limited  71&#x2f;1 Shivaji Marg, New Delhi-110015, India",IN,EAL1,,12/12/2018,,http://www.commoncriteriaportal.org:443/files/epfiles/CR-OAM_EAL1.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/ST_version1.4_Valient.pdf,,,,
Access Control Devices and Systems,,,,Thycotic Secret Server Government Edition v10.0,Thycotic,CA,None,PP_ESM_ICM_V2.1,10/23/2018,9/11/2023,http://www.commoncriteriaportal.org:443/files/epfiles/383-4-445 CR v1.1e.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/383-4-445 ST v1.5.pdf,,,,
Access Control Devices and Systems,,,,TouchEn wiseaccess v1.3,"RaonSecure Co., Ltd",KR,None,KECS-PP-0822-2017 SSO V1.0,9/20/2018,9/20/2023,http://www.commoncriteriaportal.org:443/files/epfiles/KECS-CR-18-44 Certification Report.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/wiseaccess-D-ST v1.3.07(eng).pdf,,,,
Access Control Devices and Systems,,,,File Encryption Protection Profile,Swedish Civil Contingencies Agency,SE,"EAL3,ALC_FLR.2",,8/22/2018,8/22/2023,http://www.commoncriteriaportal.org:443/files/epfiles/Certification Report FileEncryptionPP.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/File Encryption PP v1.0.pdf,,,,
Access Control Devices and Systems,,,,INISAFE Nexess V4,INITECH,KR,None,KECS-PP-0822-2017 SSO V1.0,8/20/2018,8/20/2023,http://www.commoncriteriaportal.org:443/files/epfiles/KECS-CR-18-36 INISAFE Nexess V4(eng).pdf,http://www.commoncriteriaportal.org:443/files/epfiles/CCP.C_NX42_Security_Target(ST_lite)_V1.13(EN).pdf,,,,
Access Control Devices and Systems,,,,"xPortalNet HS Server version 2.0.0.2, xPortalNet HS Client version 2.0.0.2 and Xp-GLS5100 Controllers",MicroEngine Technology Sdn Bhd,MY,EAL2,,3/16/2018,,http://www.commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-C092-CR-v1.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/xPortalNet HS Security Target v1.0.pdf,,,,
Access Control Devices and Systems,,,,CA Technologies CA API Gateway v9.2,CA Technologies,CA,EAL1,"PP_ESM_AC_V2.1,PP_ESM_PM_V2.1",10/10/2017,10/10/2022,http://www.commoncriteriaportal.org:443/files/epfiles/383-4-417 CR v1.1e.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/CA API Gateway 9.2_ST_1.2.pdf,,,,
Access Control Devices and Systems,,,,API Technologies&trade; Netgard&trade; MFD v1.8,API Technologies,CA,"EAL2+,ALC_FLR.2",,9/1/2017,9/1/2022,http://www.commoncriteriaportal.org:443/files/epfiles/383-4-428 CR v1.0e.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/383-4-428 ST v1.1.pdf,,,,
Access Control Devices and Systems,,,,Lockswitch Bluetooth Access Control System,Lockswitch Sdn Bhd,MY,EAL2,,8/24/2017,,http://www.commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-C081-CR-v1.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/Lockswitch Bluetooth Access Control System Security Target v1.0.pdf,,,,
Access Control Devices and Systems,,,,"HP XP7 Device Manager Software, HP XP7 Tiered Storage Manager Software 8.0.1-02",Hewlett Packard Enterprise Company,JP,"EAL2+,ALC_FLR.1",,7/31/2017,7/31/2022,http://www.commoncriteriaportal.org:443/files/epfiles/c0567_erpt.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/c0567_est.pdf,,,,
Access Control Devices and Systems,,,,"Huawei OceanStor T&amp;SX900 Series Storage System Software, version V100R005C30SPC300",Huawei Technologies Co. Ltd.,ES,"EAL3+,ALC_CMC.4,ALC_CMS.4",,5/27/2016,,http://www.commoncriteriaportal.org:443/files/epfiles/2013-20 INF-1591.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2013-20 Security Target v3.5.pdf,,,,
Access Control Devices and Systems,,,,IBM Security Access Manager for Enterprise Single Sign-On Version 8.2,IBM Corporation,DE,"EAL3+,ALC_FLR.1",,12/5/2014,,http://www.commoncriteriaportal.org:443/files/epfiles/0683a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/0683b_pdf.pdf,,,,
Access Control Devices and Systems,,,,NetIQ Access Manager 4.0,NetIQ Corporation,SE,"EAL3,ALC_FLR.1",,9/17/2014,,http://www.commoncriteriaportal.org:443/files/epfiles/Certification Report NetIQ Access manager 4.0_0-2_13FMV9733-39.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/NetIQ Access Manager EAL3 ST v1-13.pdf(225842)_TMP.pdf,,,,
Boundary Protection Devices and Systems,,,,FortiGate/FortiOS Version 6.2.7,"Fortinet, Inc.",CA,None,"CPP_ND_V2.2E,MOD_CPP_FW_V1.4E,MOD_IPS_V1.0,MOD_VPNGW_V1.1",1/14/2022,1/14/2026,http://www.commoncriteriaportal.org:443/files/epfiles/559-LSS CR v1.1.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/559-LSS ST v1.7.pdf,,,,
Boundary Protection Devices and Systems,,,,Fortinet FortiGate™ Next Generation Firewalls with FortiOS 6.2.7,"Fortinet, Inc.",CA,"EAL4+,ADV_FSP.3",,10/15/2021,10/15/2026,http://www.commoncriteriaportal.org:443/files/epfiles/515-EWA CR v1.0.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/515-EWA ST 1.10.pdf,,,,
Boundary Protection Devices and Systems,,,,"SDoT Security Gateway, Version 6.2i",INFODAS  Gesellschaft für Systementwicklung und informationsverarbeitung mbH,DE,"EAL4+,ALC_FLR.2",,9/27/2021,9/27/2026,http://www.commoncriteriaportal.org:443/files/epfiles/1129a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/1129b_pdf.pdf,,,,
Boundary Protection Devices and Systems,,,,Blackline Systems Corporation BSC-CDS Unidirectional Subsystem PN: 710-0185-00,Blackline Systems Corporation,CA,"EAL4+,ADV_INT.2,ALC_CMC.5,ALC_CMS.5,ALC_DVS.2,ALC_FLR.3,ATE_DPT.2,AVA_VAN.4",,9/15/2021,9/15/2026,http://www.commoncriteriaportal.org:443/files/epfiles/531-LSS CR v1.0.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/531-LSS ST v0.9.pdf,,,,
Boundary Protection Devices and Systems,,,,Sphyrna Security Unidirectional Gateway - Data Diode Identifier: 2010-UG100-SSI,Sphyrna Security Incorporated,CA,"EAL4+,ADV_INT.2,ALC_CMC.5,ALC_CMS.5,ALC_DVS.2,ALC_FLR.3,ATE_DPT.2,AVA_VAN.4",,9/7/2021,9/7/2026,http://www.commoncriteriaportal.org:443/files/epfiles/536-LSS CR v1.0.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/536-LSS ST v1.0.pdf,,,,
Boundary Protection Devices and Systems,,,,ADPICS Data Diode (ADPICS-DD) Version 1.0,Attila Cybertech Pte Ltd,SG,EAL1,,8/17/2021,8/3/2026,http://www.commoncriteriaportal.org:443/files/epfiles/Attila ADPICS DD - Certificate Report Version 1.1.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/ADPICS Data Diode - Security Target (Ver 4.0).pdf,,,,
Boundary Protection Devices and Systems,,,,Positive Technologies Application Firewall 3.6.3.758,Positive Technologies,ES,"EAL2+,ALC_FLR.2",,6/18/2021,6/18/2026,http://www.commoncriteriaportal.org:443/files/epfiles/2015-11-INF-3525.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2015-11-ST.pdf,,,,
Boundary Protection Devices and Systems,,,,Arbit Data Diode 10 GbE v1.00,Arbit Cyber Defence Systems ApS,DE,"EAL7+,ALC_FLR.1",,4/7/2021,4/7/2026,http://www.commoncriteriaportal.org:443/files/epfiles/1096a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/1096b_pdf.pdf,,,,
Boundary Protection Devices and Systems,,,,Fortinet FortiGate/FortiOS 6.0.9,"Fortinet, Inc.",CA,None,"CPP_FW_V2.0E,EP_VPN_GW_V2.1",1/5/2021,1/5/2026,http://www.commoncriteriaportal.org:443/files/epfiles/497 LSS 2019 CR.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/497 LSS 2019 ST v1.1.pdf,,,,
Boundary Protection Devices and Systems,,,,F5 BIG-IP 14.1.2 FWcPP,"F5 Networks, Inc.",SE,"EAL1,ASE_SPD.1",,11/4/2020,11/4/2022,http://www.commoncriteriaportal.org:443/files/epfiles/Certification Report - F5 BIG-IP 14.1.2 FWcPP.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/ST - F5 BIG-IP AFM 14.1.2 VE.pdf,,,,
Other Devices and Systems,netapp,clustered_data_ontap,0.190,NetApp Storage Encryption (NSE) running ONTAP 9.7P13,"NetApp, Inc.",US,None,CPP_FDE_AA_V2.0E,9/7/2021,9/7/2023,http://www.commoncriteriaportal.org:443/files/epfiles/st_vid11174-vr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/st_vid11174-st.pdf,,,,
Boundary Protection Devices and Systems,,,,genuscreen 7.0,genua GmbH,DE,"EAL4+,ALC_FLR.2,ASE_TSS.2,AVA_VAN.4",,8/18/2020,8/17/2025,http://www.commoncriteriaportal.org:443/files/epfiles/1142a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/1142b_pdf.pdf,,,,
Boundary Protection Devices and Systems,,,,Fortinet FortiGate 6000 Series w/ FortiOS 5.6,"Fortinet, Inc.",CA,None,"CPP_FW_V2.0E,EP_VPN_GW_V2.1",7/29/2020,7/29/2025,http://www.commoncriteriaportal.org:443/files/epfiles/393-4-491 CR v1.0.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/383-4-491 ST v1.3.pdf,,,,
Boundary Protection Devices and Systems,,,,CROS-1.8.22-S01 Software running on C-DOT CRAT-100/CRDT-100 Router,C-DOT -Centre for Development of Telematics,IN,EAL3,,7/15/2020,7/14/2025,http://www.commoncriteriaportal.org:443/files/epfiles/CR-CDOT-CROS-ROUTER_EAL3.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/CDOT-NGN-ST-CROS-v07.pdf,,,,
Boundary Protection Devices and Systems,,,,ST Engineering Data Diode Model 328X,ST Engineering Electronics,SG,"EAL4+,AVA_VAN.5",,6/10/2020,6/9/2025,http://www.commoncriteriaportal.org:443/files/epfiles/ST Data Diode 328X Certification Report v1.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/STEng Data Diode 328X Security Target_v2.pdf,,,,
Boundary Protection Devices and Systems,,,,Forcepoint Data Guard v3.0,Forcepoint LLC,IT,"EAL4+,ALC_FLR.2",,5/26/2020,5/26/2025,http://www.commoncriteriaportal.org:443/files/epfiles/cr_forcepoint_data_guard_30_v1.0_en.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/st_forcepoint_data_guard_30_v0.8.pdf,,,,
Other Devices and Systems,tripplite,pdumh15at,0.322,Tripp Lite B002a Secure KVM Switch Series,Tripp Lite,US,None,PP_PSS_V3.0,7/9/2020,7/9/2022,http://www.commoncriteriaportal.org:443/files/epfiles/st_VID11062-vr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/st_VID11062-st.pdf,,,,
Network and Network-Related Devices and Systems,paloaltonetworks,m-200,0.872,"Palo Alto Networks M-100, M-200, M-500, and M-600 Hardware, and Virtual Appliances all running Panorama 9.0",Palo Alto Networks,US,None,CPP_ND_V2.1,8/17/2020,8/17/2022,http://www.commoncriteriaportal.org:443/files/epfiles/st_vid11070-vr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/st_vid11070-st.pdf,7/14/2021,"Palo Alto Networks M-200, M-500, and M-600 Hardware, and Virtual Appliances all running Panorama 10.0.5",http://www.commoncriteriaportal.org:443/files/epfiles/st_vid11070-add2.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/st_vid11070-st-2.pdf
Boundary Protection Devices and Systems,,,,Fort Fox Hardware Data Diode (FFHDD) Version FFHDD3_1 and FFHDD3_10,Fox-IT B.V.,SG,"EAL4+,AVA_VAN.5",,3/23/2020,3/23/2025,http://www.commoncriteriaportal.org:443/files/epfiles/cer-ffhdd3-certification-report.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/dd-foxit-ffhdd3-security-target.pdf,,,,
Boundary Protection Devices and Systems,,,,DataFlowX Data Diode Modules v1.0.0,Bilge Siber Guvenlik Teknolojileri ve San. ve Tic. Ltd. Sti.,TR,"EAL4+,AVA_VAN.5",,3/16/2020,3/16/2023,http://www.commoncriteriaportal.org:443/files/epfiles/dataflowx_cr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/dataflowx_st.pdf,,,,
Boundary Protection Devices and Systems,,,,"Check Point Software Technologies Ltd. R80.30 Firmware for Security Gateway Appliances with Firewall, IPS Blade Pattern Matcher, and Security Management Server",Check Point Software Technologies Ltd.,NL,"EAL4+,ALC_FLR.1",,12/23/2019,12/23/2024,http://www.commoncriteriaportal.org:443/files/epfiles/Certification Report NSCIB-CC-19-0046947-CR.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/[ST] CheckPoint R80 EAL4 augm SecurityTarget (191211).pdf,,,,
Boundary Protection Devices and Systems,,,,Cisco ASR 900 Series and NCS4200 Series running IOS-XE 16.9,"Cisco Systems, Inc.",IN,None,NDCPP,12/17/2019,12/17/2024,http://www.commoncriteriaportal.org:443/files/epfiles/CR-CISCO-ASR900-NCS4200_NDcPP.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/Cisco_ASR900Series_NCS4200Series_SecurityTarget-20191011_Ver_1.0.pdf,,,,
Boundary Protection Devices and Systems,,,,F5 BIG-IP 14.1.0 for LTM+AFM,"F5 Networks, Inc.",SE,None,CPP_FW_V2.0E,12/17/2019,12/17/2024,http://www.commoncriteriaportal.org:443/files/epfiles/certification-report-f5-bigip-ltmafm-version-14.1.0.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/F5 BIG-IP AFM 14.1.0 ST v4.6.pdf,,,,
Boundary Protection Devices and Systems,,,,antiKor Next Generation Firewall and Security Management v2,Epati Siber Güvenlik Tek. San. ve Tic. A.S.,TR,"EAL4+,ALC_FLR.1",,11/7/2019,11/6/2022,http://www.commoncriteriaportal.org:443/files/epfiles/antikor cr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/Antikor v2 ST Lite v1.1 - 20191107.pdf,,,,
Boundary Protection Devices and Systems,,,,AUTEK PSTdiode ATKDDL versi&oacute;n 1.0.0,"Autek Ingenier&iacute;a, S.L.",ES,"EAL4+,ALC_FLR.3,AVA_VAN.5",,10/25/2019,10/25/2024,http://www.commoncriteriaportal.org:443/files/epfiles/2017-09-INF-2840.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2017-09-ST-lite.pdf,,,,
Boundary Protection Devices and Systems,,,,"Owl DualDiode Communication Cards 10G, 2.5G, 1.0G v.7 &amp; v.7t Models","Owl Cyber Defense Solutions, LLC",SE,"EAL4+,AVA_VAN.4",,9/11/2019,,http://www.commoncriteriaportal.org:443/files/epfiles/Certification Report - Owl DualDiode.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/OwlDualDiodeVer-7-Model-SecurityTarget-EAL4_v01m.pdf,,,,
Boundary Protection Devices and Systems,,,,Forcepoint On-Premise Security 8.5,Forcepoint LLC,MY,"EAL2+,ALC_FLR.2",,6/27/2019,,http://www.commoncriteriaportal.org:443/files/epfiles/ISCB-3-RPT-C102-CR-v1.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/Forcepoint On-Premise Security v1.0.pdf,,,,
Boundary Protection Devices and Systems,,,,Clavister cOS Core v12.00.00,Clavister AB,SE,"EAL4,ALC_FLR.1",,6/19/2019,,http://www.commoncriteriaportal.org:443/files/epfiles/Certification Report Clavister cOS.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/ST Clavister cOS vJ.pdf,,,,
Boundary Protection Devices and Systems,,,,F5 BIG-IP 13.1.1 for LTM&#x2b;AFM,"F5 Networks, Inc.",SE,None,CPP_FW_V2.0E,6/19/2019,,http://www.commoncriteriaportal.org:443/files/epfiles/Certification Report - F5 BIG-IP FWcPP AFM 13.1.1.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/F5 BIG-IP FWcPP AFM 13.1.1 ST v0.14.pdf,,,,
Boundary Protection Devices and Systems,,,,"HaltDos Mitigation Platform version 1.1 comprising of hdInspector version 1.0, hdDeviceUI version 2.0, hdDetectionService version 1.0 and hdCLI version 2.0.","Haltdos.com Private Limited E &ndash; 52, Sector -3, Noida, UP,  201301, India",IN,"EAL2,ALC_CMC.3,ALC_CMS.3",,6/3/2019,,http://www.commoncriteriaportal.org:443/files/epfiles/CR- HaltDOS_EAL2.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/ST-version1.4.pdf,,,,
Boundary Protection Devices and Systems,,,,Fortinet FortiGate w&#x2f; FortiOS v5.6.7,"Fortinet, Inc.",CA,None,CPP_FW_V2.0E,5/22/2019,5/24/2024,http://www.commoncriteriaportal.org:443/files/epfiles/383-4-450 CR v1.0a.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/383-4-450 ST v1.3A.pdf,8/26/2019,Fortinet FortiGate w&#x2f; FortiOS v5.6.7 Build 6022,http://www.commoncriteriaportal.org:443/files/epfiles/383-7-159 MR v1.0e.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/383-7-159 ST v1.4 CCRA.pdf
Boundary Protection Devices and Systems,,,,Fortinet FortiGate w&#x2f; FortiOS v5.6.7,"Fortinet, Inc.",CA,None,CPP_FW_V2.0E,5/22/2019,5/24/2024,http://www.commoncriteriaportal.org:443/files/epfiles/383-4-450 CR v1.0a.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/383-4-450 ST v1.3A.pdf,,,,
Boundary Protection Devices and Systems,,,,F5 BIG-IP 12.1.3.4 for LTM&#x2b;AFM,"F5 Networks, Inc.",SE,None,CPP_FW_V1.0,12/7/2018,,http://www.commoncriteriaportal.org:443/files/epfiles/Certification Report v2.0 - F5 BIG-IP 12.1.3.4 FWcPP.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/f5 fwcpp st.pdf,,,,
Boundary Protection Devices and Systems,,,,Fort Fox Hardware Data Diode FFHDD3_1&#x2f;10,Fox-IT B.V.,NL,"EAL7+,ALC_FLR.3,ASE_TSS.2",,7/11/2018,7/11/2023,http://www.commoncriteriaportal.org:443/files/epfiles/[CR] NSCIB-CC-163925-CR.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/[ST] 20180627 - FFHDD-ASE v3.04.pdf,,,,
Boundary Protection Devices and Systems,,,,"SonicWall SonicOS Enhanced V6.2.5 VPN Gateway on NSA, SM, and TZ Appliances","SonicWALL, Inc",CA,None,CPP_FW_V1.0,6/4/2018,6/4/2023,http://www.commoncriteriaportal.org:443/files/epfiles/383-4-438P CR v1.0e.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/383-4-438P ST v1.9.pdf,,,,
Boundary Protection Devices and Systems,,,,Valari Web Application Firewall v10.3.11,Kaapagam Technologies Sdn. Bhd.,MY,EAL2,,11/24/2017,,http://www.commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-C083-CR-v1.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/Valari_Security_Target_0.5.pdf,,,,
Boundary Protection Devices and Systems,,,,Huawei Eudemon 8000E-X&#x2f;USG9500 Series Firewall V300R001C01SPC300113,Huawei Technologies Co. Ltd.,ES,"EAL4+,ALC_FLR.1",,10/2/2017,,http://www.commoncriteriaportal.org:443/files/epfiles/2016-40-inf-2019.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2016-40-st.pdf,,,,
Boundary Protection Devices and Systems,,,,"SonicWall SonicOS Enhanced V6.2.5 on NSA, SM, and TZ Appliances","SonicWALL, Inc",CA,None,CPP_FW_V1.0,6/13/2017,6/13/2022,http://www.commoncriteriaportal.org:443/files/epfiles/383-4-393 CR v1.0e.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/383-4-393 ST v1.15.pdf,,,,
Boundary Protection Devices and Systems,,,,WatchGuard Firebox Security Appliances with Fireware v11.11 and WatchGuard Dimension 2.1,"WatchGuard Technologies, Inc.",SE,"EAL4,ALC_FLR.2",,5/5/2017,,http://www.commoncriteriaportal.org:443/files/epfiles/Certification Report WatchGuard.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/WatchGuard Firebox Firewalls EAL4_ST_1.3.pdf,,,,
Boundary Protection Devices and Systems,,,,Fortinet FortiGate&trade; Next Generation Firewalls and FortiOS 5.2.7 CC Compliant Firmware,"Fortinet, Inc.",SE,"EAL4,ALC_FLR.3",,10/3/2016,,http://www.commoncriteriaportal.org:443/files/epfiles/Certification Report FortiGate.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/Fortinet FortiGate_EAL4_ST_V1.5.pdf(320893)_TMP.pdf,,,,
Boundary Protection Devices and Systems,,,,Thales Trusted Security Filter TSF201,Thales Norway AS,NO,"EAL5,ALC_FLR.3",,2/1/2016,,http://www.commoncriteriaportal.org:443/files/epfiles/20160201 SERTIT-060 CR v1.0.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/3AQ 25940 AAAA 377 EN Security Target for TSF 201 ed  2.pdf,11/29/2018,Maintenance of Thales Trusted Security Filter TSF201,http://www.commoncriteriaportal.org:443/files/epfiles/20181129 Sertit-060 Maintenance report 1.0.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2018 TSF201 Security Target.pdf
Boundary Protection Devices and Systems,,,,Thales Trusted Security Filter TSF201,Thales Norway AS,NO,"EAL5,ALC_FLR.3",,2/1/2016,,http://www.commoncriteriaportal.org:443/files/epfiles/20160201 SERTIT-060 CR v1.0.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/3AQ 25940 AAAA 377 EN Security Target for TSF 201 ed  2.pdf,6/23/2021,Maintenance of Thales Trusted Security Filter TSF201,http://www.commoncriteriaportal.org:443/files/epfiles/SERTIT-060 MR v 2.0.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/3AQ 25940 AAAA 377 Security Target for TSF 201 v4.pdf
