CWE_ID,NAME,DESCRIPTION,LIKELIHOOD_OF_EXPLOIT
1042,Static Member Data Element outside of a Singleton Class Element,"The code contains a member element that is declared as static (but not final), in whichits parent class element is not a singleton class - that is, a class element that can be used only once inthe 'to' association of a Create action.", 
1043,Data Element Aggregating an Excessively Large Number of Non-Primitive Elements,The software uses a data element that has an excessively largenumber of sub-elements with non-primitive data types such as structures or aggregated objects., 
1044,Architecture with Number of Horizontal Layers Outside of Expected Range,The software's architecture contains too many - or too few -horizontal layers., 
1045,Parent Class with a Virtual Destructor and a Child Class without a Virtual Destructor,"A parent class has a virtual destructor method, but the parent has a child class that does not have a virtual destructor.", 
1046,Creation of Immutable Text Using String Concatenation,The software creates an immutable text string using string concatenation operations., 
1047,Modules with Circular Dependencies,"The software contains modules in which one module has references that cycle back to itself, i.e., there are circular dependencies.", 
1048,Invokable Control Element with Large Number of Outward Calls,"The code contains callable control elements that contain an excessively large number of references to other application objects external to the context of the callable, i.e. a Fan-Out value that is excessively large.", 
1049,Excessive Data Query Operations in a Large Data Table,The software performs a data query with a large number of joinsand sub-queries on a large data table., 
105,Struts: Form Field Without Validator,"The application has a form field that is not validated by a corresponding validation form, which can introduce other weaknesses related to insufficient input validation.", 
1050,Excessive Platform Resource Consumption within a Loop,"The software has a loop body or loop condition that contains a control element that directly orindirectly consumes platform resources, e.g. messaging, sessions, locks, or filedescriptors.", 
1051,Initialization with Hard-Coded Network Resource Configuration Data,The software initializes data using hard-coded values that act as network resource identifiers., 
1052,Excessive Use of Hard-Coded Literals in Initialization,The software initializes a data element using a hard-codedliteral that is not a simple integer or static constant element., 
1053,Missing Documentation for Design,The product does not have documentation that represents how it is designed., 
1054,Invocation of a Control Element at an Unnecessarily Deep Horizontal Layer,"The code at one architectural layer invokes code that residesat a deeper layer than the adjacent layer, i.e., the invocation skips at least onelayer, and the invoked code is not part of a vertical utility layer that can be referenced from any horizontal layer.", 
1055,Multiple Inheritance from Concrete Classes,The software contains a class with inheritance from more thanone concrete class., 
1056,Invokable Control Element with Variadic Parameters,A named-callable or method control element has a signature thatsupports a variable (variadic) number of parameters or arguments., 
1057,Data Access Operations Outside of Expected Data Manager Component,"The software uses a dedicated, central data manager component as required by design, but it contains code that performs data-access operations that do not use this data manager.", 
1058,Invokable Control Element in Multi-Thread Context with non-Final Static Storable or Member Element,The code contains a function or method that operates in a multi-threaded environment but owns an unsafe non-final static storable or member data element., 
1059,Incomplete Documentation,"The documentation, whether on paper or in electronic form, doesnot contain descriptions of all the relevant elements of the product, such asits usage, structure, interfaces, design, implementation, configuration,operation, etc.", 
106,Struts: Plug-in Framework not in Use,"When an application does not use an input validation framework such as the Struts Validator, there is a greater risk of introducing weaknesses related to insufficient input validation.", 
1060,Excessive Number of Inefficient Server-Side Data Accesses,The software performs too many data queries without using efficient data processing functionality such as stored procedures., 
1061,Insufficient Encapsulation,"The software does not sufficiently hide the internal representation and implementation details of data or methods, which might allow external components or modules to modify data unexpectedly, invoke unexpected functionality, or introduce dependencies that the programmer did not intend.", 
1062,Parent Class with References to Child Class,"The code has a parent class that contains references to a child class, its methods, or its members.", 
1063,Creation of Class Instance within a Static Code Block,A static code block creates an instance of a class., 
1064,Invokable Control Element with Signature Containing an Excessive Number of Parameters,"The software contains a function, subroutine, or method whose signature has an unnecessarily large number ofparameters/arguments.", 
1065,Runtime Resource Management Control Element in a Component Built to Run on Application Servers,"The application uses deployed components from application servers, but it also uses low-level functions/methods for management of resources, instead of the API provided by the application server.", 
1066,Missing Serialization Control Element,The software contains a serializable data element that does nothave an associated serialization method., 
1067,Excessive Execution of Sequential Searches of Data Resource,The software contains a data query against an SQL table or viewthat is configured in a way that does not utilize an index and may causesequential searches to be performed., 
1068,Inconsistency Between Implementation and Documented Design,The implementation of the product is not consistent with thedesign as described within the relevant documentation., 
1069,Empty Exception Block,"An invokable code block contains an exception handling block that does not contain any code, i.e. is empty.", 
107,Struts: Unused Validation Form,An unused validation form indicates that validation logic is not up-to-date., 
1070,Serializable Data Element Containing non-Serializable Item Elements,"The software contains a serializable, storable data element such as a field or member,but the data element contains member elements that are notserializable.", 
1071,Empty Code Block,"The source code contains a block that does not contain any code, i.e., the block is empty.", 
1072,Data Resource Access without Use of Connection Pooling,The software accesses a data resource through a database without using aconnection pooling capability., 
1073,Non-SQL Invokable Control Element with Excessive Number of Data Resource Accesses,"The software contains a client with a function or method that contains a large number of data accesses/queries that are sent through a data manager, i.e., does not use efficient database capabilities.", 
1074,Class with Excessively Deep Inheritance,"A class has an inheritance level that is too high, i.e., ithas a large number of parent classes.", 
1075,Unconditional Control Flow Transfer outside of Switch Block,The software performs unconditional control transfer (such as a goto ) in code outside of a branching structure such as a switchblock., 
1076,Insufficient Adherence to Expected Conventions,"The product's architecture, source code, design, documentation,or other artifact does not follow required conventions.", 
1077,Floating Point Comparison with Incorrect Operator,"The code performs a comparison such as an equality test between two float (floating point) values, but it uses comparison operators that do not account for the possibility of loss of precision.", 
1078,Inappropriate Source Code Style or Formatting,"The source code does not followdesired style or formatting for indentation, whitespace, comments, etc.", 
1079,Parent Class without Virtual Destructor Method,"A parent class contains one or more child classes, but the parent class does not have a virtual destructor method.", 
108,Struts: Unvalidated Action Form,Every Action Form must have a corresponding validation form., 
1080,Source Code File with Excessive Number of Lines of Code,A source code file has too many lines ofcode., 
1082,Class Instance Self Destruction Control Element,The code contains a class instance that calls the method or function to delete or destroy itself., 
1083,Data Access from Outside Expected Data Manager Component,"The software is intended to manage data access through a particular data manager component such as a relational or non-SQL database, but it contains code that performs data access operations without using that component.", 
1084,Invokable Control Element with Excessive File or Data Access Operations,A function or method contains too manyoperations that utilize a data manager or file resource., 
1085,Invokable Control Element with Excessive Volume of Commented-out Code,"A function, method, procedure, etc. contains an excessive amount of code that has beencommented out within its body.", 
1086,Class with Excessive Number of Child Classes,A class contains an unnecessarily large number ofchildren., 
1087,Class with Virtual Method without a Virtual Destructor,"A class contains a virtual method, but the method does not have an associated virtual destructor.", 
1088,Synchronous Access of Remote Resource without Timeout,"The code has a synchronous call to a remote resource, but there is no timeout for the call, or the timeout is set to infinite.", 
1089,Large Data Table with Excessive Number of Indices,The software uses a large data table that contains an excessively large number ofindices., 
109,Struts: Validator Turned Off,"Automatic filtering via a Struts bean has been turned off, which disables the Struts Validator and custom validation logic. This exposes the application to other weaknesses related to insufficient input validation.", 
1090,Method Containing Access of a Member Element from Another Class,A method for a class performs an operation that directlyaccesses a member element from another class., 
1091,Use of Object without Invoking Destructor Method,The software contains a method that accesses an object but does not later invokethe element's associated finalize/destructor method., 
1092,Use of Same Invokable Control Element in Multiple Architectural Layers,The software uses the same control element across multiplearchitectural layers., 
1093,Excessively Complex Data Representation,The software uses an unnecessarily complex internal representation for its data structures or interrelationships between those structures., 
1094,Excessive Index Range Scan for a Data Resource,"The software contains an index range scan for a large data table,but the scan can cover a large number of rows.", 
1095,Loop Condition Value Update within the Loop,The software uses a loop with a control flow condition based ona value that is updated within the body of the loop., 
1096,Singleton Class Instance Creation without Proper Locking or Synchronization,The software implements a Singleton design pattern but does not use appropriate locking or other synchronization mechanism to ensure that the singleton class is only instantiated once., 
1097,Persistent Storable Data Element without Associated Comparison Control Element,The software uses a storable data element that does not haveall of the associated functions or methods that are necessary to supportcomparison., 
1098,Data Element containing Pointer Item without Proper Copy Control Element,The code contains a data element with a pointer that does not have an associated copy or constructor method., 
1099,Inconsistent Naming Conventions for Identifiers,"The product's code, documentation, or other artifacts do notconsistently use the same naming conventions for variables, callables, groups ofrelated callables, I/O capabilities, data types, file names, or similar types ofelements.", 
11,ASP.NET Misconfiguration: Creating Debug Binary,Debugging messages help attackers learn about the system and plan a form of attack., 
110,Struts: Validator Without Form Field,Validation fields that do not appear in forms they are associated with indicate that the validation logic is out of date., 
1100,Insufficient Isolation of System-Dependent Functions,The product or code does not isolate system-dependentfunctionality into separate standalone modules., 
1101,Reliance on Runtime Component in Generated Code,The product uses automatically-generated code that cannot beexecuted without a specific runtime support component., 
1102,Reliance on Machine-Dependent Data Representation,"The code uses a data representation that relies on low-leveldata representation or constructs that may vary across different processors,physical machines, OSes, or other physical components.", 
1103,Use of Platform-Dependent Third Party Components,The product relies on third-party software components that donot provide equivalent functionality across all desirableplatforms., 
1104,Use of Unmaintained Third Party Components,The product relies on third-party components that are notactively supported or maintained by the original developer or a trusted proxyfor the original developer., 
1105,Insufficient Encapsulation of Machine-Dependent Functionality,"The product or code uses machine-dependent functionality, butit does not sufficiently encapsulate or isolate this functionality fromthe rest of the code.", 
1106,Insufficient Use of Symbolic Constants,"The source code uses literal constants that may need to changeor evolve over time, instead of using symbolic constants.", 
1107,Insufficient Isolation of Symbolic Constant Definitions,"The source code uses symbolic constants, but it does notsufficiently place the definitions of these constants into a more centralized orisolated location.", 
1108,Excessive Reliance on Global Variables,"The code is structured in a way that relies too much on usingor setting global variables throughout various points in the code, instead ofpreserving the associated information in a narrower, more localcontext.", 
1109,Use of Same Variable for Multiple Purposes,"The code contains a callable, block, or other code element inwhich the same variable is used to control more than one unique task or storemore than one instance of data.", 
111,Direct Use of Unsafe JNI,"When a Java application uses the Java Native Interface (JNI) to call code written in another programming language, it can expose the application to weaknesses in that code, even if those weaknesses cannot occur in Java.", 
1110,Incomplete Design Documentation,"The product's design documentation does not adequately describecontrol flow, data flow, system initialization, relationships between tasks,components, rationales, or other important aspects of thedesign.", 
1111,Incomplete I/O Documentation,"The product's documentation does not adequately define inputs,outputs, or system/software interfaces.", 
1112,Incomplete Documentation of Program Execution,The document does not fully define all mechanisms that are usedto control or influence how product-specific programs areexecuted., 
1113,Inappropriate Comment Style,The source code uses comment styles or formats that areinconsistent or do not follow expected standards for theproduct., 
1114,Inappropriate Whitespace Style,The source code contains whitespace that is inconsistent acrossthe code or does not follow expected standards for theproduct., 
1115,Source Code Element without Standard Prologue,The source code contains elements such as source files that do not consistently provide a prologue or header that has beenstandardized for the project., 
1116,Inaccurate Comments,The source code contains comments that do not accuratelydescribe or explain aspects of the portion of the code with which the comment isassociated., 
1117,Callable with Insufficient Behavioral Summary,"The code contains a function or method whose signature and/or associatedinline documentation does not sufficiently describe the callable's inputs, outputs,side effects, assumptions, or return codes.", 
1118,Insufficient Documentation of Error Handling Techniques,"The documentation does not sufficiently describe the techniquesthat are used for error handling, exception processing, or similarmechanisms.", 
1119,Excessive Use of Unconditional Branching,The code uses too many unconditional branches (such as goto )., 
112,Missing XML Validation,The software accepts XML from an untrusted source but does not validate the XML against the proper schema., 
1120,Excessive Code Complexity,"The code is too complex, as calculated using a well-defined,quantitative measure.", 
1121,Excessive McCabe Cyclomatic Complexity,The code contains McCabe cyclomatic complexity that exceeds adesirable maximum., 
1122,Excessive Halstead Complexity,The code is structured in a way that a Halstead complexitymeasure exceeds a desirable maximum., 
1123,Excessive Use of Self-Modifying Code,The product uses too much self-modifyingcode., 
1124,Excessively Deep Nesting,The code contains a callable or other code grouping in whichthe nesting / branching is too deep., 
1125,Excessive Attack Surface,The product has an attack surface whose quantitativemeasurement exceeds a desirable maximum., 
1126,Declaration of Variable with Unnecessarily Wide Scope,"The source code declares a variable in one scope, but thevariable is only used within a narrower scope.", 
1127,Compilation with Insufficient Warnings or Errors,"The code is compiled without sufficient warnings enabled, whichmay prevent the detection of subtle bugs or qualityissues.", 
113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting'),"The software receives data from an upstream component, but does not neutralize or incorrectly neutralizes CR and LF characters before the data is included in outgoing HTTP headers.", 
114,Process Control,Executing commands or loading libraries from an untrusted source or in an untrusted environment can cause an application to execute malicious commands (and payloads) on behalf of an attacker., 
115,Misinterpretation of Input,"The software misinterprets an input, whether from an attacker or another product, in a security-relevant fashion.", 
116,Improper Encoding or Escaping of Output,"The software prepares a structured message for communication with another component, but encoding or escaping of the data is either missing or done incorrectly. As a result, the intended structure of the message is not preserved.",High
1164,Irrelevant Code,"The program contains code that is not essential for execution, i.e. makes no state changes and has no side effects that alter data or control flow, such that removal of the code would have no impact to functionality or correctness.", 
117,Improper Output Neutralization for Logs,The software does not neutralize or incorrectly neutralizes output that is written to logs.,Medium
1173,Improper Use of Validation Framework,"The application does not use, or incorrectly uses, an input validation framework that is provided by the source language or an independent library.", 
1174,ASP.NET Misconfiguration: Improper Model Validation,"The ASP.NET application does not use, or incorrectly uses, the model validation framework.", 
1176,Inefficient CPU Computation,"The program performs CPU computations using algorithms that are not as efficient as they could be for the needs of the developer, i.e., the computations can be optimized further.", 
1177,Use of Prohibited Code,"The software uses a function, library, or third party component that has been explicitly prohibited, whether by the developer or the customer.", 
118,Incorrect Access of Indexable Resource ('Range Error'),"The software does not restrict or incorrectly restricts operations within the boundaries of a resource that is accessed using an index or pointer, such as memory or files.", 
1187,DEPRECATED: Use of Uninitialized Resource,This entry has been deprecated because it was a duplicate of CWE-908. All content has been transferred to CWE-908., 
1188,Insecure Default Initialization of Resource,"The software initializes or sets a resource with a default that is intended to be changed by the administrator, but the default is not secure.", 
1189,Improper Isolation of Shared Resources on System-on-a-Chip (SoC),The System-On-a-Chip (SoC) does not properly isolate shared resources between trusted and untrusted agents., 
119,Improper Restriction of Operations within the Bounds of a Memory Buffer,"The software performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer.",High
1190,DMA Device Enabled Too Early in Boot Phase,"The product enables a Direct Memory Access (DMA) capable device before the security configuration settings are established, which allows an attacker to extract data from or gain privileges on the product.", 
1191,On-Chip Debug and Test Interface With Improper Access Control,The chip does not implement or does not correctly perform access control to check whether users are authorized to access internal registers and test modes through the physical debug/test interface., 
1192,"System-on-Chip (SoC) Using Components without Unique, Immutable Identifiers","The System-on-Chip (SoC) does not have unique, immutable identifiers for each of its components.", 
1193,Power-On of Untrusted Execution Core Before Enabling Fabric Access Control,The product enables components that contain untrusted firmware before memory and fabric access controls have been enabled., 
12,ASP.NET Misconfiguration: Missing Custom Error Page,An ASP .NET application must enable custom error pages in order to prevent attackers from mining information from the framework's built-in responses., 
120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),"The program copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer, leading to a buffer overflow.",High
1204,Generation of Weak Initialization Vector (IV),"The product uses a cryptographic primitive that uses an InitializationVector (IV), but the product does not generate IVs that aresufficiently unpredictable or unique according to the expectedcryptographic requirements for that primitive.", 
1209,Failure to Disable Reserved Bits,"The reserved bits in a hardware design are not disabled prior to production. Typically, reserved bits are used for future capabilities and should not support any functional logic in the design. However, designers might covertly use these bits to debug or further develop new capabilities in production hardware. Adversaries with access to these bits will write to them in hopes of compromising hardware state.", 
121,Stack-based Buffer Overflow,"A stack-based buffer overflow condition is a condition where the buffer being overwritten is allocated on the stack (i.e., is a local variable or, rarely, a parameter to a function).",High
122,Heap-based Buffer Overflow,"A heap overflow condition is a buffer overflow, where the buffer that can be overwritten is allocated in the heap portion of memory, generally meaning that the buffer was allocated using a routine such as malloc().",High
1220,Insufficient Granularity of Access Control,"The product implements access controls via a policy or other feature with the intention to disable or restrict accesses (reads and/or writes) to assets in a system from untrusted agents. However, implemented access controls lack required granularity, which renders the control policy too broad because it allows accesses from unauthorized agents to the security-sensitive assets.", 
1221,Incorrect Register Defaults or Module Parameters,Hardware description language code incorrectly defines register defaults or hardware IP parameters to insecure values., 
1222,Insufficient Granularity of Address Regions Protected by Register Locks,The product defines a large address region protected from modification by the same register lock control bit. This results in a conflict between the functional requirement that some addresses need to be writable by software during operation and the security requirement that the system configuration lock bit must be set during the boot process., 
1223,Race Condition for Write-Once Attributes,"A write-once register in hardware design is programmable by an untrusted software component earlier than the trusted software component, resulting in a race condition issue.", 
1224,Improper Restriction of Write-Once Bit Fields,"The hardware design control register  sticky bits  or write-once bit fields are improperly implemented, such that they can be reprogrammed by software.", 
1229,Creation of Emergent Resource,"The product manages resources or behaves in a way that indirectly creates a new, distinct resource that can be used by attackers in violation of the intended policy.", 
123,Write-what-where Condition,"Any condition where the attacker has the ability to write an arbitrary value to an arbitrary location, often as the result of a buffer overflow.",High
1230,Exposure of Sensitive Information Through Metadata,"The product prevents direct access to a resource containing sensitive information, but it does not sufficiently limit access to metadata that is derived from the original, sensitive information.", 
1231,Improper Prevention of Lock Bit Modification,"The product uses a trusted lock bit for restricting access to registers, address regions, or other resources, but the product does not prevent the value of the lock bit from being modified after it has been set.", 
1232,Improper Lock Behavior After Power State Transition,"Register lock bit protection disables changes to system configuration once the bit is set. Some of the protected registers or lock bits become programmable after power state transitions (e.g., Entry and wake from low power sleep modes) causing the system configuration to be changeable.", 
1233,Security-Sensitive Hardware Controls with Missing Lock Bit Protection,"The product uses a register lock bit protection mechanism, but it does not ensure that the lock bit prevents modification of system registers or controls that perform changes to important hardware system configuration.", 
1234,Hardware Internal or Debug Modes Allow Override of Locks,System configuration protection may be bypassed during debug mode., 
1235,Incorrect Use of Autoboxing and Unboxing for Performance Critical Operations,"The code uses boxed primitives, which may introduce inefficiencies into performance-critical operations.", 
1236,Improper Neutralization of Formula Elements in a CSV File,"The software saves user-provided information into a Comma-Separated Value (CSV) file, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as a command when the file is opened by spreadsheet software.", 
1239,Improper Zeroization of Hardware Register,The hardware product does not properly clear sensitive information from built-in registers when the user of the hardware block changes., 
124,Buffer Underwrite ('Buffer Underflow'),The software writes to a buffer using an index or pointer that references a memory location prior to the beginning of the buffer.,Medium
1240,Use of a Cryptographic Primitive with a Risky Implementation,"To fulfill the need for a cryptographic primitive, the product implements a cryptographic algorithm using a non-standard, unproven, or disallowed/non-compliant cryptographic implementation.", 
1241,Use of Predictable Algorithm in Random Number Generator,The device uses an algorithm that is predictable and generates a pseudo-random number., 
1242,Inclusion of Undocumented Features or Chicken Bits,The device includes chicken bits or undocumented features that can create entry points for unauthorized actors., 
1243,Sensitive Non-Volatile Information Not Protected During Debug,Access to security-sensitive information stored in fuses is not limited during debug., 
1244,Internal Asset Exposed to Unsafe Debug Access Level or State,"The product uses physical debug or test interfaces with support for multiple access levels, but it assigns the wrong debug access level to an internal asset, providing unintended access to the asset from untrusted debug agents.", 
1245,Improper Finite State Machines (FSMs) in Hardware Logic,"Faulty finite state machines (FSMs) in the hardware logic allow an attacker to put the system in an undefined state, to cause a denial of service (DoS) or gain privileges on the victim's system.", 
1246,Improper Write Handling in Limited-write Non-Volatile Memories,The product does not implement or incorrectly implements wear leveling operations in limited-write non-volatile memories., 
1247,Improper Protection Against Voltage and Clock Glitches,The device does not contain or contains incorrectly implemented circuitry or sensors to detect and mitigate voltage and clock glitches and protect sensitive information or software contained on the device., 
1248,Semiconductor Defects in Hardware Logic with Security-Sensitive Implications,The security-sensitive hardware module contains semiconductor defects., 
1249,Application-Level Admin Tool with Inconsistent View of Underlying Operating System,"The product provides an application for administrators to manage parts of the underlying operating system, but the application does not accurately identify all of the relevant entities or resources that exist in the OS; that is, the application's model of the OS's state is inconsistent with the OS's actual state.", 
125,Out-of-bounds Read,"The software reads data past the end, or before the beginning, of the intended buffer.", 
1250,Improper Preservation of Consistency Between Independent Representations of Shared State,The product has or supports multiple distributed components or sub-systems that are each required to keep their own local copy of shared data - such as state or cache - but the product does not ensure that all local copies remain consistent with each other., 
1251,Mirrored Regions with Different Values,The product's architecture mirrors regions without ensuring that their contents always stay in sync., 
1252,CPU Hardware Not Configured to Support Exclusivity of Write and Execute Operations,The CPU is not configured to provide hardware support for exclusivity of write and execute operations on memory. This allows an attacker to execute data from all of memory., 
1253,Incorrect Selection of Fuse Values,The logic level used to set a system to a secure state relies on a fuse being unblown. An attacker can set the system to an insecure state merely by blowing the fuse., 
1254,Incorrect Comparison Logic Granularity,"The product's comparison logic is performed over a series of steps rather than across the entire string in one operation. If there is a comparison logic failure on one of these steps, the operation may be vulnerable to a timing attack that can result in the interception of the process for nefarious purposes.", 
1255,Comparison Logic is Vulnerable to Power Side-Channel Attacks,A device's real time power consumption may be monitored during security token evaluation and the information gleaned may be used to determine the value of the reference token., 
1256,Improper Restriction of Software Interfaces to Hardware Features,"The product provides software-controllabledevice functionality for capabilities such as power andclock management, but it does not properly limitfunctionality that can lead to modification ofhardware memory or register bits, or the ability toobserve physical side channels.", 
1257,Improper Access Control Applied to Mirrored or Aliased Memory Regions,Aliased or mirrored memory regions in hardware designs may have inconsistent read/write permissions enforced by the hardware. A possible result is that an untrusted agent is blocked from accessing a memory region but is not blocked from accessing the corresponding aliased memory region., 
1258,Exposure of Sensitive System Information Due to Uncleared Debug Information,"The hardware does not fully clear security-sensitive values, such as keys and intermediate values in cryptographic operations, when debug mode is entered.", 
1259,Improper Restriction of Security Token Assignment,"The System-On-A-Chip (SoC) implements a Security Token mechanism to differentiate what actions are allowed or disallowed when a transaction originates from an entity. However, the Security Tokens are improperly protected.", 
126,Buffer Over-read,The software reads from a buffer using buffer access mechanisms such as indexes or pointers that reference memory locations after the targeted buffer., 
1260,Improper Handling of Overlap Between Protected Memory Ranges,"The product allows address regions to overlap, which can result in the bypassing of intended memory protection.", 
1261,Improper Handling of Single Event Upsets,The hardware logic does not effectively handle when single-event upsets (SEUs) occur., 
1262,Improper Access Control for Register Interface,"The product uses memory-mapped I/O registers that act as an interface to hardware functionality from software, but there is improper access control to those registers.", 
1263,Improper Physical Access Control,"The product is designed with access restricted to certain information, but it does not sufficiently protect against an unauthorized actor with physical access to these areas.", 
1264,Hardware Logic with Insecure De-Synchronization between Control and Data Channels,The hardware logic for error handling and security checks can incorrectly forward data before the security check is complete., 
1265,Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls,"During execution of non-reentrant code, the software performs a call that unintentionally produces a nested invocation of the non-reentrant code.", 
1266,Improper Scrubbing of Sensitive Data from Decommissioned Device,"The product does not properly provide a capability for the product administrator to remove sensitive data at the time the product is decommissioned. A scrubbing capability could be missing, insufficient, or incorrect.", 
1267,Policy Uses Obsolete Encoding,The product uses an obsolete encoding mechanism to implement access controls., 
1268,Policy Privileges are not Assigned Consistently Between Control and Data Agents,The product's hardware-enforced access control for a particular resource improperly accounts for privilege discrepancies between control and write policies., 
1269,Product Released in Non-Release Configuration,The product released to market is released in pre-production or manufacturing configuration., 
127,Buffer Under-read,The software reads from a buffer using buffer access mechanisms such as indexes or pointers that reference memory locations prior to the targeted buffer., 
1270,Generation of Incorrect Security Tokens,"The product implements a Security Token mechanism to differentiate what actions are allowed or disallowed when a transaction originates from an entity. However, the Security Tokens generated in the system are incorrect.", 
1271,Uninitialized Value on Reset for Registers Holding Security Settings,Security-critical logic is not set to a known value on reset., 
1272,Sensitive Information Uncleared Before Debug/Power State Transition,"The product performs a power or debug state transition, but it does not clear sensitive information that should no longer be accessible due to changes to information access restrictions.", 
1273,Device Unlock Credential Sharing,The credentials necessary for unlocking a device are shared across multiple parties and may expose sensitive information., 
1274,Improper Access Control for Volatile Memory Containing Boot Code,"The product conducts a secure-boot process that transfers bootloader code from Non-Volatile Memory (NVM) into Volatile Memory (VM), but it does not have sufficient access control or other protections for the Volatile Memory.", 
1275,Sensitive Cookie with Improper SameSite Attribute,"The SameSite attribute for sensitive cookies is not set, or an insecure value is used.",Medium
1276,Hardware Child Block Incorrectly Connected to Parent System,Signals between a hardware IP and the parent system design are incorrectly connected causing security risks., 
1277,Firmware Not Updateable,The product does not provide itsusers with the ability to update or patch itsfirmware to address any vulnerabilities orweaknesses that may be present., 
1278,Missing Protection Against Hardware Reverse Engineering Using Integrated Circuit (IC) Imaging Techniques,Information stored in hardware may be recovered by an attacker with the capability to capture and analyze images of the integrated circuit using techniques such as scanning electron microscopy., 
1279,Cryptographic Operations are run Before Supporting Units are Ready,Performing cryptographic operations without ensuring that the supporting inputs are ready to supply valid data may compromise the cryptographic result., 
128,Wrap-around Error,"Wrap around errors occur whenever a value is incremented past the maximum value for its type and therefore  wraps around  to a very small, negative, or undefined value.",Medium
1280,Access Control Check Implemented After Asset is Accessed,A product's hardware-based access control check occurs after the asset has been accessed., 
1281,Sequence of Processor Instructions Leads to Unexpected Behavior,Specific combinations of processor instructions lead to undesirable behavior such as locking the processor until a hard reset performed., 
1282,Assumed-Immutable Data is Stored in Writable Memory,"Immutable data, such as a first-stage bootloader, device identifiers, and  write-once  configuration settings are stored in writable memory that can be re-programmed or updated in the field.", 
1283,Mutable Attestation or Measurement Reporting Data,The register contents used for attestation or measurement reporting data to verify boot flow are modifiable by an adversary., 
1284,Improper Validation of Specified Quantity in Input,"The product receives input that is expected to specify a quantity (such as size or length), but it does not validate or incorrectly validates that the quantity has the required properties.", 
1285,"Improper Validation of Specified Index, Position, or Offset in Input","The product receives input that is expected to specify an index, position, or offset into an indexable resource such as a buffer or file, but it does not validate or incorrectly validates that the specified index/position/offset has the required properties.", 
1286,Improper Validation of Syntactic Correctness of Input,"The product receives input that is expected to be well-formed - i.e., to comply with a certain syntax - but it does not validate or incorrectly validates that the input complies with the syntax.", 
1287,Improper Validation of Specified Type of Input,"The product receives input that is expected to be of a certain type, but it does not validate or incorrectly validates that the input is actually of the expected type.", 
1288,Improper Validation of Consistency within Input,"The product receives a complex input with multiple elements or fields that must be consistent with each other, but it does not validate or incorrectly validates that the input is actually consistent.", 
1289,Improper Validation of Unsafe Equivalence in Input,"The product receives an input value that is used as a resource identifier or other type of reference, but it does not validate or incorrectly validates that the input is equivalent to a potentially-unsafe value.", 
